raceSpace,titleSpace,candidateSpace,iteration,raceIndex,raceLength,column,yPos,votedOn
5,20,15,1,0,1,1,10,0
5,20,15,1,1,1,1,50,3
5,20,15,1,2,1,1,90,4
5,20,15,1,3,1,1,130,7
5,20,15,1,4,2,1,170,8
5,20,15,1,5,1,1,225,11
5,20,15,1,6,2,1,265,-1
5,20,15,1,7,4,1,320,14
5,20,15,1,8,4,1,405,17
5,20,15,1,9,4,1,490,20
5,20,15,1,10,4,2,10,1
5,20,15,1,11,4,2,95,5
5,20,15,1,12,4,2,180,9
5,20,15,1,13,1,2,265,12
5,20,15,1,14,2,2,305,15
5,20,15,1,15,2,2,360,-1
5,20,15,1,16,4,2,415,18
5,20,15,1,17,1,2,500,21
5,20,15,1,18,2,2,540,-1
5,20,15,1,19,3,3,10,2
5,20,15,1,20,4,3,80,6
5,20,15,1,21,4,3,165,10
5,20,15,1,22,2,3,250,13
5,20,15,1,23,2,3,305,16
5,20,15,1,24,4,3,360,-1
5,20,15,1,25,3,3,445,19
5,20,15,1,26,4,3,515,22
5,20,15,2,0,4,1,10,0
5,20,15,2,1,2,1,95,3
5,20,15,2,2,1,1,150,6
5,20,15,2,3,1,1,190,-1
5,20,15,2,4,4,1,230,9
5,20,15,2,5,4,1,315,12
5,20,15,2,6,4,1,400,15
5,20,15,2,7,4,1,485,18
5,20,15,2,8,4,2,10,1
5,20,15,2,9,4,2,95,4
5,20,15,2,10,4,2,180,7
5,20,15,2,11,1,2,265,10
5,20,15,2,12,4,2,305,13
5,20,15,2,13,4,2,390,16
5,20,15,2,14,4,2,475,19
5,20,15,2,15,2,3,10,2
5,20,15,2,16,3,3,65,5
5,20,15,2,17,2,3,135,-1
5,20,15,2,18,2,3,190,8
5,20,15,2,19,4,3,245,11
5,20,15,2,20,1,3,330,14
5,20,15,2,21,3,3,370,17
5,20,15,2,22,4,3,440,20
5,20,15,2,23,2,3,525,-1
5,20,15,3,0,1,1,10,0
5,20,15,3,1,1,1,50,3
5,20,15,3,2,2,1,90,4
5,20,15,3,3,2,1,145,-1
5,20,15,3,4,2,1,200,7
5,20,15,3,5,3,1,255,-1
5,20,15,3,6,1,1,325,10
5,20,15,3,7,3,1,365,-1
5,20,15,3,8,1,1,435,13
5,20,15,3,9,2,1,475,-1
5,20,15,3,10,4,2,10,1
5,20,15,3,11,3,2,95,5
5,20,15,3,12,2,2,165,-1
5,20,15,3,13,3,2,220,8
5,20,15,3,14,3,2,290,-1
5,20,15,3,15,2,2,360,11
5,20,15,3,16,1,2,415,-1
5,20,15,3,17,1,2,455,14
5,20,15,3,18,4,2,495,-1
5,20,15,3,19,1,3,10,2
5,20,15,3,20,4,3,50,-1
5,20,15,3,21,1,3,135,6
5,20,15,3,22,3,3,175,-1
5,20,15,3,23,1,3,245,9
5,20,15,3,24,3,3,285,-1
5,20,15,3,25,2,3,355,12
5,20,15,3,26,3,3,410,-1
5,20,15,3,27,4,3,480,15
5,20,15,4,0,2,1,10,0
5,20,15,4,1,1,1,65,3
5,20,15,4,2,4,1,105,6
5,20,15,4,3,4,1,190,7
5,20,15,4,4,3,1,275,10
5,20,15,4,5,2,1,345,13
5,20,15,4,6,4,1,400,16
5,20,15,4,7,3,1,485,19
5,20,15,4,8,3,2,10,1
5,20,15,4,9,4,2,80,4
5,20,15,4,10,2,2,165,8
5,20,15,4,11,1,2,220,-1
5,20,15,4,12,4,2,260,11
5,20,15,4,13,1,2,345,14
5,20,15,4,14,3,2,385,17
5,20,15,4,15,1,2,455,-1
5,20,15,4,16,2,2,495,20
5,20,15,4,17,2,2,550,-1
5,20,15,4,18,2,3,10,2
5,20,15,4,19,3,3,65,5
5,20,15,4,20,1,3,135,-1
5,20,15,4,21,4,3,175,9
5,20,15,4,22,3,3,260,12
5,20,15,4,23,2,3,330,15
5,20,15,4,24,3,3,385,18
5,20,15,4,25,4,3,455,21
5,20,15,4,26,1,3,540,-1
5,20,15,5,0,3,1,10,0
5,20,15,5,1,2,1,80,3
5,20,15,5,2,4,1,135,6
5,20,15,5,3,3,1,220,9
5,20,15,5,4,4,1,290,12
5,20,15,5,5,4,1,375,15
5,20,15,5,6,1,1,460,18
5,20,15,5,7,1,1,500,-1
5,20,15,5,8,1,1,540,21
5,20,15,5,9,2,2,10,1
5,20,15,5,10,3,2,65,4
5,20,15,5,11,3,2,135,7
5,20,15,5,12,2,2,205,10
5,20,15,5,13,4,2,260,13
5,20,15,5,14,4,2,345,16
5,20,15,5,15,1,2,430,-1
5,20,15,5,16,2,2,470,19
5,20,15,5,17,4,3,10,2
5,20,15,5,18,1,3,95,5
5,20,15,5,19,1,3,135,8
5,20,15,5,20,3,3,175,11
5,20,15,5,21,3,3,245,14
5,20,15,5,22,2,3,315,-1
5,20,15,5,23,3,3,370,17
5,20,15,5,24,1,3,440,-1
5,20,15,5,25,2,3,480,20
5,20,15,5,26,1,3,535,-1
5,20,15,6,0,4,1,10,0
5,20,15,6,1,4,1,95,3
5,20,15,6,2,3,1,180,6
5,20,15,6,3,4,1,250,9
5,20,15,6,4,4,1,335,12
5,20,15,6,5,2,1,420,15
5,20,15,6,6,2,1,475,18
5,20,15,6,7,3,1,530,21
5,20,15,6,8,3,2,10,1
5,20,15,6,9,4,2,80,4
5,20,15,6,10,3,2,165,7
5,20,15,6,11,4,2,235,10
5,20,15,6,12,1,2,320,13
5,20,15,6,13,1,2,360,-1
5,20,15,6,14,3,2,400,16
5,20,15,6,15,3,2,470,19
5,20,15,6,16,2,2,540,22
5,20,15,6,17,3,3,10,2
5,20,15,6,18,1,3,80,5
5,20,15,6,19,1,3,120,-1
5,20,15,6,20,3,3,160,8
5,20,15,6,21,4,3,230,11
5,20,15,6,22,2,3,315,14
5,20,15,6,23,2,3,370,-1
5,20,15,6,24,3,3,425,17
5,20,15,6,25,1,3,495,20
5,20,15,6,26,1,3,535,23
5,20,15,7,0,4,1,10,0
5,20,15,7,1,1,1,95,3
5,20,15,7,2,3,1,135,6
5,20,15,7,3,2,1,205,7
5,20,15,7,4,3,1,260,10
5,20,15,7,5,2,1,330,13
5,20,15,7,6,4,1,385,16
5,20,15,7,7,2,1,470,19
5,20,15,7,8,1,1,525,-1
5,20,15,7,9,4,2,10,1
5,20,15,7,10,4,2,95,4
5,20,15,7,11,4,2,180,8
5,20,15,7,12,1,2,265,11
5,20,15,7,13,2,2,305,14
5,20,15,7,14,2,2,360,17
5,20,15,7,15,4,2,415,-1
5,20,15,7,16,3,2,500,20
5,20,15,7,17,4,3,10,2
5,20,15,7,18,4,3,95,5
5,20,15,7,19,2,3,180,9
5,20,15,7,20,3,3,235,12
5,20,15,7,21,3,3,305,15
5,20,15,7,22,4,3,375,18
5,20,15,7,23,1,3,460,-1
5,20,15,7,24,2,3,500,21
5,20,15,8,0,1,1,10,0
5,20,15,8,1,3,1,50,3
5,20,15,8,2,3,1,120,-1
5,20,15,8,3,1,1,190,6
5,20,15,8,4,3,1,230,-1
5,20,15,8,5,1,1,300,9
5,20,15,8,6,4,1,340,12
5,20,15,8,7,1,1,425,15
5,20,15,8,8,4,1,465,18
5,20,15,8,9,3,2,10,1
5,20,15,8,10,3,2,80,4
5,20,15,8,11,3,2,150,-1
5,20,15,8,12,2,2,220,7
5,20,15,8,13,3,2,275,10
5,20,15,8,14,1,2,345,13
5,20,15,8,15,2,2,385,-1
5,20,15,8,16,4,2,440,16
5,20,15,8,17,3,2,525,-1
5,20,15,8,18,4,3,10,2
5,20,15,8,19,3,3,95,5
5,20,15,8,20,4,3,165,-1
5,20,15,8,21,1,3,250,8
5,20,15,8,22,1,3,290,11
5,20,15,8,23,4,3,330,14
5,20,15,8,24,3,3,415,17
5,20,15,8,25,4,3,485,-1
5,20,15,9,0,3,1,10,0
5,20,15,9,1,2,1,80,3
5,20,15,9,2,2,1,135,-1
5,20,15,9,3,4,1,190,6
5,20,15,9,4,2,1,275,9
5,20,15,9,5,1,1,330,12
5,20,15,9,6,3,1,370,15
5,20,15,9,7,2,1,440,17
5,20,15,9,8,4,1,495,20
5,20,15,9,9,4,2,10,1
5,20,15,9,10,2,2,95,4
5,20,15,9,11,3,2,150,-1
5,20,15,9,12,1,2,220,7
5,20,15,9,13,2,2,260,10
5,20,15,9,14,2,2,315,13
5,20,15,9,15,2,2,370,16
5,20,15,9,16,4,2,425,18
5,20,15,9,17,3,2,510,21
5,20,15,9,18,1,3,10,2
5,20,15,9,19,4,3,50,-1
5,20,15,9,20,3,3,135,5
5,20,15,9,21,3,3,205,8
5,20,15,9,22,3,3,275,11
5,20,15,9,23,2,3,345,14
5,20,15,9,24,3,3,400,19
5,20,15,9,25,1,3,470,-1
5,20,15,9,26,1,3,510,22
5,20,15,10,0,2,1,10,0
5,20,15,10,1,3,1,65,3
5,20,15,10,2,1,1,135,6
5,20,15,10,3,1,1,175,9
5,20,15,10,4,1,1,215,-1
5,20,15,10,5,1,1,255,10
5,20,15,10,6,2,1,295,13
5,20,15,10,7,2,1,350,16
5,20,15,10,8,4,1,405,-1
