raceSpace,titleSpace,candidateSpace,iteration,raceIndex,raceLength,column,yPos,votedOn
10,20,16,1,0,1,1,10,0
10,20,16,1,1,1,1,56,3
10,20,16,1,2,2,1,102,4
10,20,16,1,3,2,1,164,7
10,20,16,1,4,2,1,226,10
10,20,16,1,5,3,1,288,13
10,20,16,1,6,1,1,366,16
10,20,16,1,7,3,1,412,-1
10,20,16,1,8,1,1,490,19
10,20,16,1,9,2,1,536,22
10,20,16,1,10,4,2,10,1
10,20,16,1,11,3,2,104,5
10,20,16,1,12,2,2,182,8
10,20,16,1,13,3,2,244,11
10,20,16,1,14,3,2,322,14
10,20,16,1,15,2,2,400,17
10,20,16,1,16,1,2,462,-1
10,20,16,1,17,1,2,508,20
10,20,16,1,18,4,3,10,2
10,20,16,1,19,1,3,104,6
10,20,16,1,20,4,3,150,9
10,20,16,1,21,1,3,244,12
10,20,16,1,22,3,3,290,15
10,20,16,1,23,1,3,368,-1
10,20,16,1,24,3,3,414,18
10,20,16,1,25,2,3,492,21
10,20,16,2,0,2,1,10,0
10,20,16,2,1,1,1,72,3
10,20,16,2,2,4,1,118,-1
10,20,16,2,3,4,1,212,6
10,20,16,2,4,3,1,306,9
10,20,16,2,5,2,1,384,12
10,20,16,2,6,4,1,446,15
10,20,16,2,7,3,2,10,1
10,20,16,2,8,3,2,88,4
10,20,16,2,9,4,2,166,7
10,20,16,2,10,2,2,260,-1
10,20,16,2,11,1,2,322,10
10,20,16,2,12,4,2,368,13
10,20,16,2,13,1,2,462,16
10,20,16,2,14,3,2,508,-1
10,20,16,2,15,1,3,10,2
10,20,16,2,16,2,3,56,-1
10,20,16,2,17,2,3,118,5
10,20,16,2,18,2,3,180,8
10,20,16,2,19,3,3,242,-1
10,20,16,2,20,1,3,320,11
10,20,16,2,21,4,3,366,14
10,20,16,2,22,3,3,460,17
10,20,16,2,23,2,3,538,-1
10,20,16,3,0,3,1,10,0
10,20,16,3,1,2,1,88,3
10,20,16,3,2,4,1,150,6
10,20,16,3,3,3,1,244,7
10,20,16,3,4,4,1,322,10
10,20,16,3,5,4,1,416,13
10,20,16,3,6,1,1,510,16
10,20,16,3,7,1,1,556,19
10,20,16,3,8,1,2,10,1
10,20,16,3,9,2,2,56,-1
10,20,16,3,10,3,2,118,4
10,20,16,3,11,3,2,196,-1
10,20,16,3,12,2,2,274,8
10,20,16,3,13,4,2,336,11
10,20,16,3,14,4,2,430,14
10,20,16,3,15,1,2,524,17
10,20,16,3,16,2,3,10,2
10,20,16,3,17,4,3,72,5
10,20,16,3,18,1,3,166,-1
10,20,16,3,19,1,3,212,-1
10,20,16,3,20,3,3,258,9
10,20,16,3,21,3,3,336,12
10,20,16,3,22,2,3,414,15
10,20,16,3,23,3,3,476,-1
10,20,16,3,24,1,3,554,18
10,20,16,4,0,4,1,10,0
10,20,16,4,1,4,1,104,3
10,20,16,4,2,3,1,198,6
10,20,16,4,3,4,1,276,9
10,20,16,4,4,4,1,370,12
10,20,16,4,5,2,1,464,15
10,20,16,4,6,2,1,526,18
10,20,16,4,7,3,2,10,1
10,20,16,4,8,3,2,88,4
10,20,16,4,9,4,2,166,7
10,20,16,4,10,3,2,260,10
10,20,16,4,11,4,2,338,13
10,20,16,4,12,1,2,432,-1
10,20,16,4,13,1,2,478,16
10,20,16,4,14,3,2,524,19
10,20,16,4,15,3,3,10,2
10,20,16,4,16,2,3,88,5
10,20,16,4,17,3,3,150,8
10,20,16,4,18,1,3,228,-1
10,20,16,4,19,1,3,274,11
10,20,16,4,20,3,3,320,14
10,20,16,4,21,4,3,398,-1
10,20,16,4,22,2,3,492,17
10,20,16,5,0,4,1,10,0
10,20,16,5,1,1,1,104,3
10,20,16,5,2,3,1,150,-1
10,20,16,5,3,2,1,228,6
10,20,16,5,4,3,1,290,9
10,20,16,5,5,2,1,368,10
10,20,16,5,6,4,1,430,13
10,20,16,5,7,2,1,524,15
10,20,16,5,8,1,2,10,1
10,20,16,5,9,4,2,56,-1
10,20,16,5,10,4,2,150,4
10,20,16,5,11,4,2,244,7
