2 3 3 3 3 4 1, 4 4 1 3 2 3 3 1, 1 3 2 3 4 4 2, 2 3 3 3 3 4 1 4 4 1 3 2 3 3 1 1 3 2 3 4 4 2, 0 7 15 1 8 17 2 3 10 19 4 11 20 5 12 6 13 21, 10 20 16
3 2 1 4 3 3 2 4, 2 3 4 4 3 1 4, 4 1 4 2 1 1 3 4, 3 2 1 4 3 3 2 4 2 3 4 4 3 1 4 4 1 4 2 1 1 3 4, 0 8 15 1 9 16 2 10 17 3 4 11 18 5 12 20 6 14 22 7, 10 20 16
4 4 1 1 1 1 2 4 1, 4 4 4 3 2 3 1, 3 3 4 4 3 3 1, 4 4 1 1 1 1 2 4 1 4 4 4 3 2 3 1 3 3 4 4 3 3 1, 0 9 16 1 10 17 2 11 18 3 4 12 19 5 13 20 6 7 14 21 8 15 22, 10 20 16
4 4 2 2 3 3 3, 2 1 3 3 2 1 3 4, 3 4 3 3 1 2 1 4, 4 4 2 2 3 3 3 2 1 3 3 2 1 3 4 3 4 3 3 1 2 1 4, 0 7 15 1 9 16 2 10 17 3 11 18 4 12 19 5 13 20 6 14 21, 10 20 16
2 4 4 4 1 4 2, 3 4 1 1 4 2 2 2, 4 2 3 1 1 4 1 3 1, 2 4 4 4 1 4 2 3 4 1 1 4 2 2 2 4 2 3 1 1 4 1 3 1, 0 7 15 1 8 16 2 9 17 3 11 19 4 12 20 5 13 21 6 14 22, 10 20 16
3 3 2 2 3 1 4 4, 2 2 3 1 2 4 2 1 1, 1 1 4 1 3 4 4 1 1, 3 3 2 2 3 1 4 4 2 2 3 1 2 4 2 1 1 1 1 4 1 3 4 4 1 1, 0 8 17 1 9 18 2 10 19 3 11 20 4 13 22 5 14 23 7 16 24, 10 20 16
1 2 1 2 4 2 1 4 3, 3 2 3 4 4 3 1, 3 2 2 3 2 1 4 3, 1 2 1 2 4 2 1 4 3 3 2 3 4 4 3 1 3 2 2 3 2 1 4 3, 0 9 16 1 10 17 2 3 11 18 4 12 19 5 13 21 6 14 22 7 8 15 23, 10 20 16
1 2 2 2 4 4 1 2, 4 1 3 1 1 2 2 4 2, 2 4 1 4 2 3 4 2, 1 2 2 2 4 4 1 2 4 1 3 1 1 2 2 4 2 2 4 1 4 2 3 4 2, 0 8 17 1 2 9 18 3 10 19 4 11 20 5 13 21 6 15 23 7, 10 20 16
2 2 4 1 1 1 2 2 3, 4 1 4 2 2 3 3 1, 1 4 4 1 3 1 1 1 1 1, 2 2 4 1 1 1 2 2 3 4 1 4 2 2 3 3 1 1 4 4 1 3 1 1 1 1 1, 0 9 17 1 10 19 3 12 20 4 5 13 21 6 14 22 7 15 24 8 16 25, 10 20 16
4 3 3 3 4 2 3, 4 1 2 3 2 3 3 4, 3 3 4 2 2 2 1 2, 4 3 3 3 4 2 3 4 1 2 3 2 3 3 4 3 3 4 2 2 2 1 2, 0 7 15 1 8 16 2 10 17 3 11 18 4 12 19 5 13 21 6 14 22, 10 20 16
